yelp_feature.avgstar,yelp_feature.location,yelp_feature.business_count,yelp_feature.reviewcount,yelp_feature.five_star_count,yelp_feature.four_star_count,yelp_feature.three_star_count,yelp_feature.two_star_count,yelp_feature.one_star_count,yelp_feature.senti_neg_avg,yelp_feature.senti_pos_avg,yelp_feature.senti_neu_avg,yelp_feature.senti_comp_avg,yelp_feature.senti_compound_pos_count,yelp_feature.senti_compound_neg_count,yelp_feature.senti_compound_neu_count
3.395654752904779,140,16,85979,172,184,129,98,131,0.051617647058823504,0.18633613445378155,0.7620532212885157,0.6164229691876755,600,111,3
4.5,146,1,224,15,NULL,NULL,NULL,1,0.0119375,0.2861875,0.7019999999999998,0.9336125000000001,16,NULL,NULL
1.5,147,1,30,1,NULL,NULL,NULL,4,0.054200000000000005,0.1224,0.8234,0.2621,3,1,1
3.5,149,2,405,11,2,NULL,1,7,0.07523809523809524,0.1050952380952381,0.8195714285714286,0.38677142857142865,15,6,NULL
4.5,150,1,2346,30,12,1,2,1,0.02908695652173914,0.24939130434782608,0.7214347826086955,0.802532608695652,44,2,NULL
1.0,152,1,9,NULL,NULL,NULL,NULL,3,0.13833333333333334,0.03266666666666667,0.8290000000000001,-0.9249,NULL,3,NULL
1.8762886597938144,153,3,194,2,4,NULL,2,12,0.12014999999999998,0.11464999999999999,0.7651500000000001,-0.07306000000000001,9,11,NULL
4.002187231078146,154,8,97612,179,103,27,13,20,0.03196491228070176,0.22933040935672527,0.7387368421052634,0.777788596491228,319,21,2
3.999571701458785,155,5,233482,211,157,51,32,35,0.05025514403292182,0.18331275720164614,0.766444444444445,0.6424460905349796,426,55,5
1.937810573068836,156,7,126983,58,58,42,38,310,0.07864031620553352,0.09947628458498026,0.8218893280632423,0.06320770750988144,257,241,8
3.555029585798817,157,7,1690,27,30,7,9,8,0.0423827160493827,0.19972839506172832,0.7579135802469132,0.6128098765432097,67,13,1
2.9292035398230087,158,2,226,8,1,NULL,NULL,9,0.06572222222222222,0.1178888888888889,0.8166111111111112,0.3074833333333334,13,5,NULL
2.84626890025019,159,21,18386,85,90,49,40,127,0.059207161125319686,0.15406905370843993,0.7867365728900252,0.3757189258312023,272,112,7
3.399066091954023,160,19,8352,86,49,50,25,39,0.056044176706827306,0.18014056224899574,0.76385140562249,0.5633991967871486,201,42,6
1.5,161,1,35,NULL,NULL,2,NULL,3,0.1224,0.1202,0.7569999999999999,0.09922,3,2,NULL
4.0,162,1,399,7,10,NULL,NULL,2,0.042210526315789476,0.2934736842105263,0.6642631578947369,0.7337263157894738,18,1,NULL
4.5,163,1,20,3,1,NULL,NULL,NULL,0.0105,0.36450000000000005,0.62475,0.827375,4,NULL,NULL
3.082340300840008,164,5,5119,31,21,18,15,30,0.0643304347826087,0.15164347826086955,0.7840695652173912,0.4011582608695652,84,29,2
2.088724584103512,165,2,541,9,NULL,NULL,NULL,16,0.07136,0.084,0.8447999999999999,-0.024892000000000004,12,13,NULL
1.5,166,1,16,NULL,NULL,1,NULL,3,0.16075,0.01725,0.8217500000000001,-0.59705,NULL,3,1
3.0,167,1,16,1,1,NULL,NULL,2,0.07024999999999999,0.11549999999999999,0.8145,-0.05564999999999995,2,2,NULL
4.285714285714286,168,3,70,9,2,NULL,1,1,0.029538461538461538,0.2610769230769231,0.7094615384615384,0.6722230769230768,11,2,NULL
3.323529411764706,169,2,68,3,2,1,NULL,4,0.0308,0.1548,0.8144,0.5316599999999999,7,2,1
3.991279069767442,170,3,344,10,7,3,NULL,3,0.029826086956521735,0.2148695652173913,0.7553043478260869,0.8083913043478259,22,1,NULL
3.9544080604534004,171,8,1985,33,18,7,4,13,0.04701333333333333,0.20965333333333339,0.7432533333333334,0.5409786666666666,62,13,NULL
3.4244930629669157,172,13,1874,54,19,14,9,23,0.05436974789915964,0.1518235294117647,0.7937899159663864,0.5182487394957983,92,24,3
3.6191933458882612,173,18,6372,65,62,34,18,42,0.04666515837104071,0.19164705882352948,0.7616696832579186,0.558619004524887,181,39,1
3.8740609335384786,174,64,1773703,1169,1182,631,385,456,0.048899293748365234,0.18977530735024895,0.7613217368558745,0.6350629348679048,3247,544,32
3.6896484909862197,175,31,193537,358,412,216,144,136,0.04330015797788311,0.189925750394945,0.7667788309636652,0.6761563191153243,1102,153,11
3.5808602431690417,176,15,7649,89,20,9,8,48,0.05655747126436781,0.17571264367816097,0.7677126436781607,0.4556258620689652,132,39,3
3.0962094442659813,177,15,3113,33,24,15,10,53,0.06624444444444444,0.1494814814814815,0.7843185185185187,0.35543851851851865,92,41,2
3.49867760539983,178,24,3363217,386,742,568,303,292,0.05879703186381496,0.1635412483631599,0.7776748144914891,0.5071319947621122,1807,438,46
1.677756053013628,179,11,256236,160,130,82,90,345,0.0785377942998761,0.12270136307311026,0.798768277571252,0.17355328376703832,478,321,8
3.623985136147889,180,11,96072,191,180,83,64,68,0.04397440273037542,0.20141808873720143,0.7546058020477822,0.6686580204778161,507,76,3
2.0,181,1,192,1,1,2,4,8,0.09300000000000001,0.08537499999999998,0.8216249999999999,-0.2500875,5,11,NULL
2.831269349845201,182,3,646,13,7,NULL,5,13,0.07442105263157893,0.16744736842105262,0.7581842105263159,0.28192368421052627,24,14,NULL
