phoenix_complete_feature.avgstar,phoenix_complete_feature.gtfs1,phoenix_complete_feature.gtfs2,phoenix_complete_feature.gtfs3,phoenix_complete_feature.gtfs4,phoenix_complete_feature.gtfs5,phoenix_complete_feature.gtfs6,phoenix_complete_feature.gtfs7,phoenix_complete_feature.gtfs8,phoenix_complete_feature.gtfs9,phoenix_complete_feature.location,phoenix_complete_feature.business_count,phoenix_complete_feature.reviewcount,phoenix_complete_feature.five_star_count,phoenix_complete_feature.four_star_count,phoenix_complete_feature.three_star_count,phoenix_complete_feature.two_star_count,phoenix_complete_feature.one_star_count,phoenix_complete_feature.senti_neg_avg,phoenix_complete_feature.senti_pos_avg,phoenix_complete_feature.senti_neu_avg,phoenix_complete_feature.senti_comp_avg,phoenix_complete_feature.senti_compound_pos_count,phoenix_complete_feature.senti_compound_neg_count,phoenix_complete_feature.senti_compound_neu_count,phoenix_complete_feature.tweet_count,phoenix_complete_feature.senti_negative_avg,phoenix_complete_feature.senti_neutral_avg,phoenix_complete_feature.senti_positive_avg,phoenix_complete_feature.senti_compound_avg,phoenix_complete_feature.senti_compound_positive_count,phoenix_complete_feature.senti_compound_negative_count,phoenix_complete_feature.senti_compound_neutral_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.7591999888,0.2408000052,0.4664599895,4,0,1
1.2,0,0,0,0,0,0,0,0,0,132,2,15,0,0,1,1,3,0.1032,0.0704,0.827,-0.30948,1,4,0,1,0.1180000007,0.7639999986,0.1180000007,0,0,0,1
4.9747634069,0,0,0,0,0,0,0,0,0,133,3,317,21,2,1,0,0,0.0402916667,0.17125,0.788625,0.6968458333,22,2,0,2,0.1099999994,0.6714999974,0.2185000032,0.1875999868,1,1,0
3.2099869167,0,0,0,0,0,0,0,0,0,134,12,2293,50,15,13,14,29,0.0611404959,0.1531322314,0.7857024793,0.4540900826,89,26,6,8,0,0.8523750007,0.1476250011,0.3371374942,5,0,3
3.8013245033,0,0,0,0,0,0,0,0,0,135,6,151,12,4,5,1,5,0.0455185185,0.1628148148,0.7916296296,0.4876333333,20,6,1,5,0.0104000002,0.7853999972,0.2041999996,0.4482800007,3,0,2
3.8980383212,0,0,0,0,0,0,0,0,0,136,6,2192,48,22,3,4,7,0.0519761905,0.1768214286,0.7712261905,0.6394797619,70,13,1,1,0.1379999965,0.7429999709,0.1190000027,-0.126000002,0,1,0
4.0837957825,0,0,0,0,0,0,0,0,0,137,3,3604,62,18,7,5,7,0.0362424242,0.1909292929,0.7728383838,0.7821222222,92,6,1,70,0.003657143,0.8439428551,0.1524000003,0.3181114251,49,1,20
3.0875259543,0,0,0,0,0,0,0,0,0,138,18,6261,80,44,23,25,59,0.0554199134,0.1679480519,0.7766320346,0.4794168831,174,56,1,19,0.0583684201,0.8501578883,0.0915263158,-0.0014736833,5,8,6
3.7444802389,0,0,0,0,0,0,0,0,0,139,13,12727,98,72,33,24,38,0.039154717,0.2082415094,0.752645283,0.6615211321,232,30,3,8,0.0096249999,0.8091250062,0.1812500022,0.4019250032,6,0,2
3.3956547529,0,0,0,0,0,0,0,0,0,140,16,85979,172,184,129,98,131,0.0516176471,0.1863361345,0.7620532213,0.6164229692,600,111,3,37,0.0521891886,0.8448918913,0.1029729722,0.0663891878,14,10,13
